Reactant_1_Name,Reactant_2_Name,Ligand_Short_Hand,Reagent_1_Short_Hand,Solvent_1_Short_Hand
6-triflatequinoline,"2b, Boronic Ester",P(Cy)3,Et3N,DMF
6-triflatequinoline,"2a, Boronic Acid",SPhos,CsF,MeCN
Potassium quinoline-6-trifluoroborate,"2d, Bromide",XPhos,KOH,MeOH
6-Quinolineboronic acid pinacol ester,"2d, Bromide",P(Cy)3,LiOtBu,MeOH
6-Quinolineboronic acid pinacol ester,"2d, Bromide",P(tBu)3,LiOtBu,MeOH
6-triflatequinoline,"2c, Trifluoroborate",P(Cy)3,No Base,DMF
6-triflatequinoline,"2b, Boronic Ester",P(tBu)3,CsF,THF
6-triflatequinoline,"2b, Boronic Ester",P(Ph)3 ,LiOtBu,DMF
6-triflatequinoline,"2a, Boronic Acid",P(o-Tol)3,CsF,THF
6-Iodoquinoline,"2a, Boronic Acid",P(o-Tol)3,No Base,MeCN
6-triflatequinoline,"2a, Boronic Acid",P(Ph)3 ,K3PO4,DMF
6-Bromoquinoline,"2c, Trifluoroborate",SPhos,K3PO4,MeCN
6-quinoline-boronic acid hydrochloride,"2d, Bromide",No Ligand,NaHCO3,MeCN
6-Quinolineboronic acid pinacol ester,"2d, Bromide",CataCXium A,No Base,THF
6-triflatequinoline,"2c, Trifluoroborate",P(o-Tol)3,NaHCO3,MeOH
Potassium quinoline-6-trifluoroborate,"2d, Bromide",AmPhos,K3PO4,THF
6-Iodoquinoline,"2a, Boronic Acid",SPhos,NaOH,MeOH
6-Bromoquinoline,"2b, Boronic Ester",No Ligand,No Base,THF
6-Iodoquinoline,"2a, Boronic Acid",SPhos,No Base,THF
6-triflatequinoline,"2c, Trifluoroborate",dtbpf,CsF,MeCN
6-triflatequinoline,"2c, Trifluoroborate",P(o-Tol)3,LiOtBu,THF
6-Bromoquinoline,"2c, Trifluoroborate",AmPhos,KOH,DMF
6-Iodoquinoline,"2b, Boronic Ester",AmPhos,LiOtBu,MeCN
6-Iodoquinoline,"2a, Boronic Acid",P(Cy)3,CsF,THF
6-triflatequinoline,"2a, Boronic Acid",P(Cy)3,CsF,MeCN
6-Quinolineboronic acid pinacol ester,"2d, Bromide",dtbpf,CsF,DMF
6-Iodoquinoline,"2a, Boronic Acid",dtbpf,LiOtBu,THF
6-triflatequinoline,"2a, Boronic Acid",No Ligand,CsF,THF
6-triflatequinoline,"2b, Boronic Ester",dtbpf,No Base,DMF
6-Bromoquinoline,"2c, Trifluoroborate",XPhos,CsF,THF
6-quinoline-boronic acid hydrochloride,"2d, Bromide",No Ligand,NaHCO3,DMF
6-triflatequinoline,"2b, Boronic Ester",P(tBu)3,NaOH,DMF
6-triflatequinoline,"2b, Boronic Ester",P(o-Tol)3,No Base,MeCN
6-quinoline-boronic acid hydrochloride,"2d, Bromide",dtbpf,K3PO4,DMF
6-Iodoquinoline,"2a, Boronic Acid",AmPhos,K3PO4,MeOH
6-Quinolineboronic acid pinacol ester,"2d, Bromide",P(Ph)3 ,NaHCO3,MeOH
6-Bromoquinoline,"2b, Boronic Ester",P(tBu)3,CsF,DMF
6-triflatequinoline,"2b, Boronic Ester",XPhos,KOH,MeCN
6-Quinolineboronic acid pinacol ester,"2d, Bromide",P(Cy)3,K3PO4,MeCN
6-triflatequinoline,"2c, Trifluoroborate",CataCXium A,CsF,MeOH
6-triflatequinoline,"2b, Boronic Ester",CataCXium A,NaHCO3,MeOH
6-Bromoquinoline,"2c, Trifluoroborate",CataCXium A,K3PO4,MeCN
6-triflatequinoline,"2b, Boronic Ester",SPhos,LiOtBu,DMF
6-Bromoquinoline,"2b, Boronic Ester",CataCXium A,LiOtBu,MeOH
6-Iodoquinoline,"2b, Boronic Ester",No Ligand,CsF,THF
6-triflatequinoline,"2b, Boronic Ester",P(Cy)3,KOH,MeCN
6-Iodoquinoline,"2b, Boronic Ester",CataCXium A,NaHCO3,DMF
6-Bromoquinoline,"2c, Trifluoroborate",P(Ph)3 ,NaHCO3,DMF
6-triflatequinoline,"2a, Boronic Acid",P(Ph)3 ,LiOtBu,DMF
6-triflatequinoline,"2a, Boronic Acid",CataCXium A,CsF,MeCN
6-Bromoquinoline,"2a, Boronic Acid",XPhos,CsF,MeOH
6-Iodoquinoline,"2a, Boronic Acid",SPhos,K3PO4,DMF
6-Iodoquinoline,"2a, Boronic Acid",P(tBu)3,No Base,MeCN
6-Quinolineboronic acid pinacol ester,"2d, Bromide",P(tBu)3,No Base,MeCN
6-Bromoquinoline,"2a, Boronic Acid",AmPhos,KOH,THF
6-Iodoquinoline,"2a, Boronic Acid",No Ligand,No Base,THF
6-Iodoquinoline,"2c, Trifluoroborate",P(o-Tol)3,CsF,MeCN
6-Bromoquinoline,"2c, Trifluoroborate",P(o-Tol)3,CsF,THF
6-quinoline-boronic acid hydrochloride,"2d, Bromide",AmPhos,NaHCO3,DMF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",XPhos,Et3N,MeCN
6-triflatequinoline,"2b, Boronic Ester",AmPhos,K3PO4,THF
6-Iodoquinoline,"2a, Boronic Acid",CataCXium A,LiOtBu,THF
6-triflatequinoline,"2c, Trifluoroborate",SPhos,KOH,MeCN
6-Bromoquinoline,"2c, Trifluoroborate",No Ligand,No Base,THF
6-triflatequinoline,"2c, Trifluoroborate",P(Ph)3 ,LiOtBu,MeCN
6-Bromoquinoline,"2b, Boronic Ester",SPhos,No Base,THF
6-Iodoquinoline,"2a, Boronic Acid",AmPhos,K3PO4,MeCN
6-triflatequinoline,"2a, Boronic Acid",CataCXium A,NaHCO3,MeOH
Potassium quinoline-6-trifluoroborate,"2d, Bromide",P(Ph)3 ,NaOH,THF
6-Bromoquinoline,"2a, Boronic Acid",P(tBu)3,LiOtBu,THF
6-Iodoquinoline,"2c, Trifluoroborate",No Ligand,KOH,MeOH
6-Iodoquinoline,"2c, Trifluoroborate",P(tBu)3,Et3N,DMF
6-quinoline-boronic acid hydrochloride,"2d, Bromide",dtbpf,NaOH,DMF
6-Iodoquinoline,"2c, Trifluoroborate",SPhos,K3PO4,MeOH
6-Iodoquinoline,"2b, Boronic Ester",XPhos,K3PO4,MeCN
6-Iodoquinoline,"2a, Boronic Acid",P(Ph)3 ,K3PO4,DMF
6-Bromoquinoline,"2b, Boronic Ester",SPhos,CsF,THF
6-Bromoquinoline,"2b, Boronic Ester",CataCXium A,Et3N,THF
6-Bromoquinoline,"2a, Boronic Acid",SPhos,Et3N,MeCN
6-Bromoquinoline,"2b, Boronic Ester",P(o-Tol)3,KOH,MeOH
6-Bromoquinoline,"2b, Boronic Ester",AmPhos,CsF,MeOH
6-Iodoquinoline,"2b, Boronic Ester",dtbpf,No Base,THF
6-Iodoquinoline,"2a, Boronic Acid",dtbpf,NaOH,MeOH
6-Quinolineboronic acid pinacol ester,"2d, Bromide",AmPhos,NaOH,THF
6-Bromoquinoline,"2a, Boronic Acid",P(tBu)3,LiOtBu,MeCN
6-triflatequinoline,"2a, Boronic Acid",SPhos,LiOtBu,DMF
6-Bromoquinoline,"2c, Trifluoroborate",P(Ph)3 ,CsF,MeOH
Potassium quinoline-6-trifluoroborate,"2d, Bromide",No Ligand,Et3N,DMF
6-Bromoquinoline,"2b, Boronic Ester",XPhos,K3PO4,THF
6-Iodoquinoline,"2b, Boronic Ester",P(Ph)3 ,LiOtBu,MeCN
6-Iodoquinoline,"2b, Boronic Ester",P(tBu)3,Et3N,MeOH
6-Bromoquinoline,"2a, Boronic Acid",No Ligand,K3PO4,THF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",P(tBu)3,K3PO4,MeCN
6-triflatequinoline,"2a, Boronic Acid",AmPhos,No Base,THF
6-Bromoquinoline,"2c, Trifluoroborate",SPhos,NaHCO3,DMF
6-triflatequinoline,"2b, Boronic Ester",dtbpf,NaHCO3,MeCN
6-Iodoquinoline,"2b, Boronic Ester",No Ligand,K3PO4,MeOH
6-Bromoquinoline,"2c, Trifluoroborate",AmPhos,No Base,DMF
6-Bromoquinoline,"2b, Boronic Ester",No Ligand,KOH,MeOH
6-Bromoquinoline,"2b, Boronic Ester",No Ligand,Et3N,MeCN
6-triflatequinoline,"2b, Boronic Ester",P(Ph)3 ,CsF,DMF
6-Iodoquinoline,"2b, Boronic Ester",P(Cy)3,NaOH,THF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",P(Cy)3,NaHCO3,MeOH
Potassium quinoline-6-trifluoroborate,"2d, Bromide",dtbpf,No Base,MeOH
6-Bromoquinoline,"2b, Boronic Ester",AmPhos,NaOH,THF
6-Bromoquinoline,"2a, Boronic Acid",P(Ph)3 ,Et3N,THF
6-Iodoquinoline,"2b, Boronic Ester",CataCXium A,NaOH,MeOH
6-triflatequinoline,"2b, Boronic Ester",P(tBu)3,NaHCO3,THF
6-Bromoquinoline,"2a, Boronic Acid",CataCXium A,Et3N,MeCN
6-Quinolineboronic acid pinacol ester,"2d, Bromide",dtbpf,NaHCO3,DMF
6-Quinolineboronic acid pinacol ester,"2d, Bromide",AmPhos,No Base,MeOH
6-Quinolineboronic acid pinacol ester,"2d, Bromide",XPhos,No Base,MeCN
6-Iodoquinoline,"2b, Boronic Ester",P(Cy)3,KOH,DMF
6-triflatequinoline,"2c, Trifluoroborate",SPhos,NaHCO3,MeCN
6-triflatequinoline,"2b, Boronic Ester",P(tBu)3,Et3N,DMF
6-Bromoquinoline,"2c, Trifluoroborate",SPhos,NaOH,MeOH
6-Iodoquinoline,"2a, Boronic Acid",No Ligand,Et3N,DMF
6-Bromoquinoline,"2b, Boronic Ester",No Ligand,NaHCO3,MeOH
6-Iodoquinoline,"2c, Trifluoroborate",SPhos,KOH,THF
6-triflatequinoline,"2c, Trifluoroborate",P(Ph)3 ,NaOH,MeCN
6-Bromoquinoline,"2b, Boronic Ester",P(Cy)3,NaHCO3,THF
6-Bromoquinoline,"2c, Trifluoroborate",CataCXium A,Et3N,MeOH
6-Bromoquinoline,"2b, Boronic Ester",P(o-Tol)3,LiOtBu,THF
6-triflatequinoline,"2c, Trifluoroborate",dtbpf,NaHCO3,MeOH
6-quinoline-boronic acid hydrochloride,"2d, Bromide",CataCXium A,CsF,MeCN
6-Bromoquinoline,"2b, Boronic Ester",dtbpf,KOH,MeCN
6-Iodoquinoline,"2c, Trifluoroborate",CataCXium A,K3PO4,THF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",No Ligand,No Base,MeCN
6-Bromoquinoline,"2a, Boronic Acid",P(tBu)3,Et3N,DMF
6-Bromoquinoline,"2c, Trifluoroborate",CataCXium A,NaHCO3,MeOH
6-triflatequinoline,"2c, Trifluoroborate",dtbpf,K3PO4,MeCN
6-Iodoquinoline,"2c, Trifluoroborate",No Ligand,LiOtBu,DMF
6-triflatequinoline,"2b, Boronic Ester",No Ligand,NaOH,MeOH
6-triflatequinoline,"2b, Boronic Ester",No Ligand,KOH,THF
6-triflatequinoline,"2b, Boronic Ester",AmPhos,K3PO4,MeOH
6-Bromoquinoline,"2a, Boronic Acid",AmPhos,NaOH,MeCN
6-Quinolineboronic acid pinacol ester,"2d, Bromide",P(o-Tol)3,CsF,MeCN
6-Iodoquinoline,"2a, Boronic Acid",P(o-Tol)3,LiOtBu,THF
6-Bromoquinoline,"2c, Trifluoroborate",P(Cy)3,LiOtBu,THF
6-Iodoquinoline,"2c, Trifluoroborate",SPhos,NaHCO3,MeOH
6-Iodoquinoline,"2b, Boronic Ester",P(Cy)3,Et3N,MeOH
6-triflatequinoline,"2a, Boronic Acid",No Ligand,KOH,DMF
6-Bromoquinoline,"2c, Trifluoroborate",P(Ph)3 ,Et3N,DMF
6-triflatequinoline,"2a, Boronic Acid",CataCXium A,KOH,MeOH
6-Bromoquinoline,"2c, Trifluoroborate",P(Cy)3,Et3N,MeCN
6-Iodoquinoline,"2b, Boronic Ester",P(Ph)3 ,Et3N,MeOH
6-Quinolineboronic acid pinacol ester,"2d, Bromide",CataCXium A,K3PO4,DMF
6-triflatequinoline,"2b, Boronic Ester",CataCXium A,Et3N,THF
6-triflatequinoline,"2c, Trifluoroborate",CataCXium A,NaHCO3,DMF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",No Ligand,No Base,THF
6-Bromoquinoline,"2c, Trifluoroborate",P(Cy)3,NaOH,THF
6-Bromoquinoline,"2c, Trifluoroborate",P(o-Tol)3,NaOH,MeOH
6-Iodoquinoline,"2c, Trifluoroborate",dtbpf,CsF,MeCN
6-Bromoquinoline,"2c, Trifluoroborate",P(Cy)3,CsF,MeOH
6-Iodoquinoline,"2c, Trifluoroborate",dtbpf,LiOtBu,DMF
6-Bromoquinoline,"2b, Boronic Ester",No Ligand,NaOH,MeCN
6-Bromoquinoline,"2c, Trifluoroborate",dtbpf,CsF,DMF
6-Iodoquinoline,"2a, Boronic Acid",XPhos,CsF,MeCN
6-Iodoquinoline,"2c, Trifluoroborate",dtbpf,No Base,THF
6-triflatequinoline,"2c, Trifluoroborate",XPhos,KOH,MeCN
6-triflatequinoline,"2b, Boronic Ester",P(tBu)3,KOH,DMF
6-Bromoquinoline,"2a, Boronic Acid",CataCXium A,NaHCO3,THF
6-Iodoquinoline,"2a, Boronic Acid",SPhos,Et3N,THF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",CataCXium A,No Base,THF
6-quinoline-boronic acid hydrochloride,"2d, Bromide",P(Ph)3 ,NaOH,DMF
6-Bromoquinoline,"2a, Boronic Acid",SPhos,K3PO4,MeOH
6-Iodoquinoline,"2a, Boronic Acid",CataCXium A,NaOH,MeOH
6-triflatequinoline,"2b, Boronic Ester",CataCXium A,K3PO4,THF
6-Quinolineboronic acid pinacol ester,"2d, Bromide",XPhos,KOH,THF
6-triflatequinoline,"2a, Boronic Acid",P(Cy)3,Et3N,DMF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",SPhos,K3PO4,MeOH
6-triflatequinoline,"2c, Trifluoroborate",P(Ph)3 ,KOH,THF
6-Iodoquinoline,"2b, Boronic Ester",P(Ph)3 ,NaOH,MeCN
6-Iodoquinoline,"2a, Boronic Acid",P(tBu)3,No Base,THF
6-triflatequinoline,"2a, Boronic Acid",P(tBu)3,NaOH,MeCN
6-Quinolineboronic acid pinacol ester,"2d, Bromide",No Ligand,CsF,THF
6-triflatequinoline,"2a, Boronic Acid",P(Cy)3,KOH,THF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",No Ligand,NaOH,MeOH
6-Iodoquinoline,"2a, Boronic Acid",No Ligand,NaHCO3,MeOH
6-triflatequinoline,"2c, Trifluoroborate",P(Ph)3 ,CsF,THF
6-Bromoquinoline,"2a, Boronic Acid",XPhos,K3PO4,MeCN
6-triflatequinoline,"2c, Trifluoroborate",AmPhos,LiOtBu,MeCN
6-Iodoquinoline,"2a, Boronic Acid",CataCXium A,K3PO4,MeOH
6-Iodoquinoline,"2a, Boronic Acid",CataCXium A,Et3N,THF
6-Quinolineboronic acid pinacol ester,"2d, Bromide",AmPhos,NaHCO3,THF
6-Bromoquinoline,"2a, Boronic Acid",AmPhos,KOH,MeOH
6-triflatequinoline,"2c, Trifluoroborate",No Ligand,NaHCO3,THF
6-Iodoquinoline,"2b, Boronic Ester",No Ligand,No Base,THF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",XPhos,NaHCO3,THF
6-triflatequinoline,"2a, Boronic Acid",AmPhos,NaHCO3,MeCN
6-Iodoquinoline,"2c, Trifluoroborate",P(Ph)3 ,KOH,DMF
6-Quinolineboronic acid pinacol ester,"2d, Bromide",No Ligand,Et3N,THF
6-Iodoquinoline,"2b, Boronic Ester",dtbpf,NaHCO3,DMF
6-triflatequinoline,"2a, Boronic Acid",dtbpf,Et3N,DMF
6-Bromoquinoline,"2c, Trifluoroborate",P(Cy)3,KOH,MeCN
6-Bromoquinoline,"2a, Boronic Acid",P(tBu)3,NaOH,MeOH
6-Quinolineboronic acid pinacol ester,"2d, Bromide",AmPhos,K3PO4,THF
6-Iodoquinoline,"2b, Boronic Ester",P(tBu)3,NaHCO3,DMF
6-Quinolineboronic acid pinacol ester,"2d, Bromide",dtbpf,LiOtBu,DMF
6-triflatequinoline,"2c, Trifluoroborate",AmPhos,NaHCO3,MeCN
6-Iodoquinoline,"2b, Boronic Ester",dtbpf,CsF,THF
6-quinoline-boronic acid hydrochloride,"2d, Bromide",dtbpf,KOH,DMF
6-Bromoquinoline,"2a, Boronic Acid",P(Ph)3 ,NaHCO3,MeCN
6-Iodoquinoline,"2b, Boronic Ester",P(Cy)3,KOH,THF
6-triflatequinoline,"2b, Boronic Ester",P(tBu)3,No Base,DMF
6-Quinolineboronic acid pinacol ester,"2d, Bromide",AmPhos,NaOH,MeOH
Potassium quinoline-6-trifluoroborate,"2d, Bromide",SPhos,NaHCO3,THF
6-Bromoquinoline,"2a, Boronic Acid",No Ligand,KOH,DMF
6-quinoline-boronic acid hydrochloride,"2d, Bromide",AmPhos,LiOtBu,MeCN
6-triflatequinoline,"2c, Trifluoroborate",P(Cy)3,No Base,MeCN
6-Iodoquinoline,"2a, Boronic Acid",SPhos,CsF,THF
6-triflatequinoline,"2a, Boronic Acid",AmPhos,CsF,MeOH
6-Iodoquinoline,"2c, Trifluoroborate",No Ligand,CsF,MeOH
6-triflatequinoline,"2b, Boronic Ester",SPhos,LiOtBu,MeOH
6-Iodoquinoline,"2a, Boronic Acid",XPhos,K3PO4,MeOH
6-triflatequinoline,"2c, Trifluoroborate",SPhos,Et3N,MeOH
6-triflatequinoline,"2b, Boronic Ester",P(Ph)3 ,Et3N,DMF
6-Iodoquinoline,"2a, Boronic Acid",CataCXium A,No Base,MeOH
6-triflatequinoline,"2a, Boronic Acid",CataCXium A,KOH,DMF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",SPhos,NaHCO3,MeCN
6-Bromoquinoline,"2c, Trifluoroborate",XPhos,No Base,MeOH
6-quinoline-boronic acid hydrochloride,"2d, Bromide",P(Ph)3 ,Et3N,DMF
6-triflatequinoline,"2b, Boronic Ester",dtbpf,No Base,MeCN
Potassium quinoline-6-trifluoroborate,"2d, Bromide",dtbpf,KOH,THF
6-triflatequinoline,"2a, Boronic Acid",AmPhos,Et3N,MeOH
6-triflatequinoline,"2b, Boronic Ester",dtbpf,K3PO4,DMF
6-triflatequinoline,"2c, Trifluoroborate",SPhos,NaHCO3,THF
6-Bromoquinoline,"2a, Boronic Acid",XPhos,NaOH,THF
6-Bromoquinoline,"2c, Trifluoroborate",CataCXium A,LiOtBu,MeOH
6-Bromoquinoline,"2a, Boronic Acid",SPhos,K3PO4,THF
6-Bromoquinoline,"2b, Boronic Ester",SPhos,NaHCO3,MeCN
6-Bromoquinoline,"2a, Boronic Acid",P(Ph)3 ,NaHCO3,THF
6-Iodoquinoline,"2c, Trifluoroborate",No Ligand,No Base,MeOH
6-Bromoquinoline,"2a, Boronic Acid",CataCXium A,Et3N,DMF
6-triflatequinoline,"2b, Boronic Ester",CataCXium A,NaOH,DMF
6-Bromoquinoline,"2b, Boronic Ester",P(o-Tol)3,NaHCO3,MeCN
6-Bromoquinoline,"2a, Boronic Acid",No Ligand,No Base,MeOH
6-Bromoquinoline,"2a, Boronic Acid",P(tBu)3,CsF,MeOH
6-triflatequinoline,"2b, Boronic Ester",P(Ph)3 ,NaOH,THF
6-triflatequinoline,"2a, Boronic Acid",P(Ph)3 ,LiOtBu,MeOH
6-Iodoquinoline,"2a, Boronic Acid",P(o-Tol)3,KOH,THF
6-Quinolineboronic acid pinacol ester,"2d, Bromide",P(o-Tol)3,CsF,MeOH
6-Bromoquinoline,"2c, Trifluoroborate",SPhos,No Base,MeOH
6-Iodoquinoline,"2a, Boronic Acid",P(o-Tol)3,K3PO4,MeCN
6-triflatequinoline,"2b, Boronic Ester",dtbpf,NaHCO3,MeOH
6-Iodoquinoline,"2c, Trifluoroborate",P(Cy)3,K3PO4,MeOH
6-Bromoquinoline,"2b, Boronic Ester",P(Cy)3,NaOH,DMF
6-Bromoquinoline,"2b, Boronic Ester",P(Cy)3,NaHCO3,MeOH
6-quinoline-boronic acid hydrochloride,"2d, Bromide",P(Cy)3,CsF,MeCN
6-Iodoquinoline,"2b, Boronic Ester",AmPhos,LiOtBu,THF
6-Iodoquinoline,"2b, Boronic Ester",No Ligand,Et3N,THF
6-triflatequinoline,"2b, Boronic Ester",No Ligand,Et3N,MeOH
6-Bromoquinoline,"2c, Trifluoroborate",P(Cy)3,LiOtBu,DMF
6-Iodoquinoline,"2b, Boronic Ester",XPhos,LiOtBu,MeOH
6-triflatequinoline,"2c, Trifluoroborate",P(o-Tol)3,No Base,THF
6-Iodoquinoline,"2b, Boronic Ester",No Ligand,KOH,MeCN
6-Bromoquinoline,"2c, Trifluoroborate",SPhos,CsF,MeCN
6-Iodoquinoline,"2a, Boronic Acid",AmPhos,No Base,MeCN
Potassium quinoline-6-trifluoroborate,"2d, Bromide",dtbpf,NaHCO3,MeCN
6-Bromoquinoline,"2b, Boronic Ester",P(o-Tol)3,No Base,MeCN
6-Bromoquinoline,"2a, Boronic Acid",dtbpf,NaOH,DMF
6-quinoline-boronic acid hydrochloride,"2d, Bromide",CataCXium A,Et3N,DMF
6-triflatequinoline,"2c, Trifluoroborate",P(tBu)3,NaHCO3,DMF
6-triflatequinoline,"2b, Boronic Ester",XPhos,KOH,DMF
6-Iodoquinoline,"2a, Boronic Acid",P(tBu)3,LiOtBu,THF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",P(tBu)3,NaHCO3,MeOH
6-Iodoquinoline,"2a, Boronic Acid",XPhos,K3PO4,DMF
6-Iodoquinoline,"2b, Boronic Ester",AmPhos,NaOH,THF
6-Iodoquinoline,"2a, Boronic Acid",SPhos,K3PO4,MeOH
6-triflatequinoline,"2b, Boronic Ester",CataCXium A,NaHCO3,THF
6-Bromoquinoline,"2c, Trifluoroborate",P(o-Tol)3,NaOH,DMF
6-Bromoquinoline,"2c, Trifluoroborate",P(Ph)3 ,LiOtBu,MeOH
6-Iodoquinoline,"2b, Boronic Ester",P(Ph)3 ,NaOH,MeOH
6-Iodoquinoline,"2a, Boronic Acid",XPhos,No Base,DMF
6-Bromoquinoline,"2c, Trifluoroborate",P(tBu)3,Et3N,MeOH
6-Bromoquinoline,"2b, Boronic Ester",SPhos,KOH,THF
6-triflatequinoline,"2c, Trifluoroborate",CataCXium A,CsF,THF
6-Iodoquinoline,"2a, Boronic Acid",P(tBu)3,CsF,DMF
6-triflatequinoline,"2c, Trifluoroborate",dtbpf,CsF,MeOH
6-Bromoquinoline,"2b, Boronic Ester",No Ligand,CsF,MeOH
6-Bromoquinoline,"2b, Boronic Ester",P(o-Tol)3,NaHCO3,THF
6-Bromoquinoline,"2b, Boronic Ester",dtbpf,NaOH,MeCN
6-Iodoquinoline,"2b, Boronic Ester",P(tBu)3,NaOH,THF
6-Bromoquinoline,"2a, Boronic Acid",dtbpf,KOH,MeOH
6-Bromoquinoline,"2c, Trifluoroborate",No Ligand,NaHCO3,MeCN
6-Bromoquinoline,"2c, Trifluoroborate",No Ligand,K3PO4,THF
6-Bromoquinoline,"2a, Boronic Acid",dtbpf,Et3N,THF
6-Iodoquinoline,"2a, Boronic Acid",P(Cy)3,CsF,MeOH
Potassium quinoline-6-trifluoroborate,"2d, Bromide",P(Ph)3 ,CsF,THF
6-Iodoquinoline,"2c, Trifluoroborate",dtbpf,K3PO4,THF
6-Quinolineboronic acid pinacol ester,"2d, Bromide",No Ligand,NaHCO3,MeOH
6-triflatequinoline,"2b, Boronic Ester",dtbpf,LiOtBu,MeCN
6-Iodoquinoline,"2b, Boronic Ester",CataCXium A,KOH,DMF
6-triflatequinoline,"2c, Trifluoroborate",P(Cy)3,NaOH,MeCN
6-triflatequinoline,"2a, Boronic Acid",dtbpf,Et3N,THF
6-triflatequinoline,"2b, Boronic Ester",P(Ph)3 ,Et3N,MeCN
6-triflatequinoline,"2b, Boronic Ester",P(o-Tol)3,LiOtBu,MeOH
6-triflatequinoline,"2a, Boronic Acid",SPhos,K3PO4,MeOH
6-Bromoquinoline,"2b, Boronic Ester",P(Ph)3 ,NaHCO3,DMF
Potassium quinoline-6-trifluoroborate,"2d, Bromide",CataCXium A,CsF,THF
